"Format","MoTeC CSV File",,,"Workbook",""
"Venue","ks_brands_hatch",,,"Worksheet",""
"Vehicle","legends_ford_34_coupe",,,"Vehicle Desc",""
"Driver","Sgt. Swampass",,,"Engine ID",""
"Device","ADL"
"Comment","Tires: FEDERAL SS595 (CUT)",,,"Session","RACE"
"Log Date","08/10/2025",,,"Origin Time","0.000","s"
"Log Time","22:56:00",,,"Start Time","0.000","s"
"Sample Rate","20.000","Hz",,"End Time","249.100","s"
"Duration","249.100","s",,"Start Distance","0","m"
"Range","entire outing",,,"End Distance","8016","m"


"ABS Active","ABS Enabled","AID Allow Tire Blankets","AID Auto Blip","AID Auto Clutch","AID Auto Shift","AID Fuel Rate","AID Ideal Line","AID Mech Damage","AID Stability","AID Tire Wear Rate","Air Density","Air Temp","Ballast","Best Lap Delta","Best Lap Time","Brake Bias","Brake Pos","Brake Temp FL","Brake Temp FR","Brake Temp RL","Brake Temp RR","CG Accel Lateral","CG Accel Longitudinal","CG Accel Vertical","CG Height","Camber FL","Camber FR","Camber RL","Camber RR","Car Coord X","Car Coord Y","Car Coord Z","Car Damage Front","Car Damage Left","Car Damage Rear","Car Damage Right","Car Pos Norm","Caster FL","Caster FR","Chassis Pitch Angle","Chassis Pitch Rate","Chassis Roll Angle","Chassis Roll Rate","Chassis Velocity X","Chassis Velocity Y","Chassis Velocity Z","Chassis Yaw Rate","Clutch Pos","DRS Active","DRS Available","Drive Train Speed","ERS Heat Charging","ERS Is Charging","ERS Max Energy","ERS Power Level","ERS Recovery Level","Engine Brake Setting","Engine Limiter","Engine RPM","Flags","Fuel Level","Gear","Ground Speed","HR Sample Clock","In Pit","KERS Charge","KERS Deployed Energy","KERS Input","KERS Max Energy","LR Sample Clock","Lap Invalidated","Lap Time","Lap Time2","Last Lap Time","Last Sector Time","MR Sample Clock","Max Fuel","Max Power","Max RPM","Max Sus Travel FL","Max Sus Travel FR","Max Sus Travel RL","Max Sus Travel RR","Max Torque","Max Turbo Boost","Num Tires Off Track","Penalties Enabled","Position","Raw Data Sample Rate","Ride Height FL","Ride Height FR","Ride Height RL","Ride Height RR","Road Temp","Self Align Torque FL","Self Align Torque FR","Self Align Torque RL","Self Align Torque RR","Session Lap Count","Session Time Left","Steering Angle","Surface Grip","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","TC Active","TC Enabled","Throttle Pos","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Tire Pressure FL","Tire Pressure FR","Tire Pressure RL","Tire Pressure RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Rubber Grip FL","Tire Rubber Grip FR","Tire Rubber Grip RL","Tire Rubber Grip RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Tire Temp Core FL","Tire Temp Core FR","Tire Temp Core RL","Tire Temp Core RR","Tire Temp Inner FL","Tire Temp Inner FR","Tire Temp Inner RL","Tire Temp Inner RR","Tire Temp Middle FL","Tire Temp Middle FR","Tire Temp Middle RL","Tire Temp Middle RR","Tire Temp Outer FL","Tire Temp Outer FR","Tire Temp Outer RL","Tire Temp Outer RR","Toe In FL","Toe In FR","Toe In RL","Toe In RR","Turbo Boost","Wheel Angular Speed FL","Wheel Angular Speed FR","Wheel Angular Speed RL","Wheel Angular Speed RR","Wind Direction","Wind Speed"
"","","","","","","","","%","%","","kg/m3","C","kg","s","s","%","%","C","C","C","C","G","G","G","mm","deg","deg","deg","deg","m","m","m","","","","","","deg","deg","deg","deg/s","deg","deg/s","m/s","m/s","m/s","deg/s","%","","","rad/s","","","MJ","","","","","rpm","","l","","km/h","","","%","kJ","%","MJ","","","s","s","s","s","","l","hp","rpm","mm","mm","mm","mm","N.m","","","","","Hz","mm","mm","mm","mm","C","N.m","N.m","N.m","N.m","","s","deg","%","mm","mm","mm","mm","","","%","","","","","N","N","N","N","mm","mm","mm","mm","psi","psi","psi","psi","mm","mm","mm","mm","%","%","%","%","deg","deg","deg","deg","%","%","%","%","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","deg","deg","deg","deg","","rad/s","rad/s","rad/s","rad/s","deg","km/h"


"0.0000","1","1","1","0","0","0","1","19.999990000","50","1","1.18560","26","0","0.000","0.00","69.999990000","100.00","26.00","26.00","26.00","26.00","0.000","0.000","0.0000","406.10","2.933","-7.348","1.377","-1.815","293.10","-317.54","-3.946","0.0000","0.000","0.0000","0.000","0.9102","-7.016500","-7.016500","-0.233","0.876","0.305","43.51","0.00","0.019","-0.0853","0.77","0.00","0","0","0.81","0","0","0","0","0","0","0.0000","79","0.0000","18","0.0000","0.31","0.0000","0","0","0","0","0","0.0000","0","0.00","0.00","0.00","0.000","0.0000","18","140.26460","10500","118.0000000000","118.0000000000","0","0","119","0","0.0000","1","20.000","20.00","85.31","85.31","96.71","96.71","23","-6.70","0.000","8.90","0.00","0.0000","0.00","0.00","100","55.26","48.30","97.00","47.99","0","0","0.00","0.0000","0.0000","0.0000","0.0000","3012","0.0","3463","0.0","256.565","270.000","245.095","270.000","21.6800","21.6800","19.6800","19.6800","270.000010000","270.000010000","270.000010000","270.000010000","100","100","100","100","-7.00","0.00","-14.22","0.00","-0.19","0.00","6.81","0.00","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","0.037","-0.866","-0.1817","0.1817","0","0.00","0.00","0.20","0.20","-50","0"
"0.0000","1","1","1","0","0","0","1","19.999999000","50","1","1.18560","26","0","0.000","0.00","69.999999000","0.00","26.00","26.00","26.00","26.00","0.000","0.000","0.0000","409.15","-2.507","-2.090","-0.210","-0.228","293.07","-317.54","-3.943","0.0000","0.000","0.0000","0.000","0.9102","-7.016502","-7.016502","-2.144","0.000","5.684","0.00","0.00","0.000","0.0000","0.00","0.00","0","0","0.00","0","0","0","0","0","0","0.0000","7411","0.0000","18","0.0000","0.01","1.0000","0","0","0","0","0","0.0000","0","0.06","0.06","0.00","0.000","1.0000","18","140.26460","10500","118.0000010000","118.0000010000","0","0","119","0","0.0000","1","20.000","66.67","85.31","85.31","96.71","96.71","23","-0.00","0.005","0.00","0.00","0.0000","-0.05","5.45","100","30.67","33.28","37.47","40.99","0","0","27.77","0.0000","0.0000","0.0000","0.0000","1281","1352.6","1544","1705.1","264.901","264.616","263.856","263.214","21.6800","21.6800","19.6800","19.6800","270.000011000","270.000011000","270.000011000","270.000011000","100","100","100","100","0.23","0.23","0.21","0.21","-0.00","-0.00","-0.03","-0.02","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","0.489","-0.490","0.0681","-0.0681","0","0.00","0.00","0.00","0.00","-50","0"
"0.0000","1","1","1","0","0","0","1","19.999999000","50","1","1.18560","26","0","0.000","0.00","69.999999000","0.00","26.00","26.00","26.00","26.00","0.000","0.000","0.0000","409.15","-2.507","-2.090","-0.210","-0.228","293.07","-317.54","-3.943","0.0000","0.000","0.0000","0.000","0.9102","-7.016502","-7.016502","-2.144","0.000","5.684","0.00","0.00","0.000","0.0000","0.00","0.00","0","0","0.00","0","0","0","0","0","0","0.0000","7432","0.0000","18","0.0000","0.01","0.0000","0","0","0","0","0","0.0000","0","0.10","0.10","0.00","0.000","0.0000","18","140.26460","10500","118.0000010000","118.0000010000","0","0","119","0","0.0000","1","20.000","66.67","85.31","85.31","96.71","96.71","23","-0.00","0.005","0.00","0.00","0.0000","-0.10","5.45","100","30.67","33.28","37.47","40.99","0","0","27.77","0.0000","0.0000","0.0000","0.0000","1281","1352.6","1544","1705.2","264.901","264.616","263.855","263.212","21.6800","21.6800","19.6800","19.6800","270.000011000","270.000011000","270.000011000","270.000011000","100","100","100","100","0.23","0.23","0.21","0.21","-0.00","-0.00","-0.02","-0.02","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","0.489","-0.490","0.0681","-0.0681","0","0.00","0.00","0.00","0.00","-50","0"
"0.0000","1","1","1","0","0","0","1","19.999999000","50","1","1.18560","26","0","0.000","0.00","69.999999000","0.00","26.00","26.00","26.00","26.00","0.000","0.000","0.0000","409.15","-2.507","-2.090","-0.210","-0.228","293.07","-317.54","-3.943","0.0000","0.000","0.0000","0.000","0.9102","-7.016502","-7.016502","-2.144","0.000","5.684","0.00","0.00","0.000","0.0000","0.00","0.00","0","0","0.00","0","0","0","0","0","0","0.0000","7457","0.0000","18","0.0000","0.01","1.0000","0","0","0","0","0","0.0000","0","0.16","0.16","0.00","0.000","1.0000","18","140.26460","10500","118.0000010000","118.0000010000","0","0","119","0","0.0000","1","20.000","83.33","85.31","85.31","96.71","96.71","23","-0.00","0.005","0.00","0.00","0.0000","-0.15","5.45","100","30.67","33.28","37.47","40.98","0","0","27.77","0.0000","0.0000","0.0000","0.0000","1281","1352.8","1544","1705.6","264.903","264.615","263.854","263.212","21.6800","21.6800","19.6800","19.6800","270.000011000","270.000011000","270.000011000","270.000011000","100","100","100","100","0.23","0.23","0.21","0.21","-0.00","-0.00","-0.02","-0.02","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","0.489","-0.490","0.0681","-0.0681","0","0.00","0.00","0.00","0.00","-50","0"
"0.0000","1","1","1","0","0","0","1","19.999999000","50","1","1.18560","26","0","0.000","0.00","69.999999000","0.00","26.00","26.00","26.00","26.00","0.000","0.000","0.0000","409.15","-2.507","-2.090","-0.210","-0.228","293.07","-317.54","-3.943","0.0000","0.000","0.0000","0.000","0.9102","-7.016502","-7.016502","-2.144","0.000","5.684","0.00","0.00","0.000","0.0000","0.00","0.00","0","0","0.00","0","0","0","0","0","0","0.0000","7478","0.0000","18","0.0000","0.01","0.0000","0","0","0","0","0","0.0000","0","0.20","0.20","0.00","0.000","0.0000","18","140.26460","10500","118.0000010000","118.0000010000","0","0","119","0","0.0000","1","20.000","66.67","85.31","85.31","96.71","96.71","23","-0.00","0.005","0.00","0.00","0.0000","-0.19","5.45","100","30.67","33.28","37.47","40.98","0","0","27.77","0.0000","0.0000","0.0000","0.0000","1281","1352.4","1544","1705.8","264.901","264.617","263.853","263.211","21.6800","21.6800","19.6800","19.6800","270.000011000","270.000011000","270.000011000","270.000011000","100","100","100","100","0.23","0.23","0.21","0.21","-0.00","-0.00","-0.02","-0.02","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","0.489","-0.490","0.0681","-0.0681","0","0.00","0.00","0.00","0.00","-50","0"
"0.0000","1","1","1","0","0","0","1","19.999999000","50","1","1.18560","26","0","0.000","0.00","69.999999000","0.00","26.00","26.00","26.00","26.00","0.000","0.000","0.0000","409.15","-2.507","-2.090","-0.210","-0.228","293.07","-317.54","-3.943","0.0000","0.000","0.0000","0.000","0.9102","-7.016502","-7.016502","-2.144","0.000","5.684","0.00","0.00","0.000","0.0000","0.00","0.00","0","0","0.00","0","0","0","0","0","0","0.0000","7502","0.0000","18","0.0000","0.01","1.0000","0","0","0","0","0","0.0000","0","0.25","0.25","0.00","0.000","1.0000","18","140.26460","10500","118.0000010000","118.0000010000","0","0","119","0","0.0000","1","20.000","66.67","85.31","85.31","96.71","96.71","23","-0.00","0.005","0.00","0.00","0.0000","-0.25","5.45","100","30.68","33.28","37.47","40.99","0","0","27.77","0.0000","0.0000","0.0000","0.0000","1281","1352.7","1544","1705.0","264.902","264.616","263.854","263.214","21.6800","21.6800","19.6800","19.6800","270.000011000","270.000011000","270.000011000","270.000011000","100","100","100","100","0.23","0.23","0.21","0.21","-0.00","-0.00","-0.02","-0.02","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","0.489","-0.490","0.0681","-0.0681","0","0.00","0.00","0.00","0.00","-50","0"
"0.0000","1","1","1","0","0","0","1","19.999999000","50","1","1.18560","26","0","0.000","0.00","69.999999000","0.00","26.00","26.00","26.00","26.00","0.000","0.000","0.0000","409.15","-2.507","-2.090","-0.210","-0.228","293.07","-317.54","-3.943","0.0000","0.000","0.0000","0.000","0.9102","-7.016502","-7.016502","-2.144","0.000","5.684","0.00","0.00","0.000","0.0000","0.00","0.00","0","0","0.00","0","0","0","0","0","0","0.0000","7524","0.0000","18","0.0000","0.01","0.0000","0","0","0","0","0","0.0000","0","0.31","0.31","0.00","0.000","0.0000","18","140.26460","10500","118.0000010000","118.0000010000","0","0","119","0","0.0000","1","20.000","66.67","85.31","85.31","96.71","96.71","23","-0.00","0.005","0.00","0.00","0.0000","-0.30","5.54","100","30.67","33.28","37.47","40.98","0","0","27.77","0.0000","0.0000","0.0000","0.0000","1281","1352.4","1544","1705.6","264.900","264.617","263.853","263.212","21.6800","21.6800","19.6800","19.6800","270.000011000","270.000011000","270.000011000","270.000011000","100","100","100","100","0.23","0.23","0.21","0.21","-0.00","-0.00","-0.02","-0.02","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","40.000","0.489","-0.490","0.0681","-0.0681","0","0.00","0.00","0.00","0.00","-50","0"
