Time (s),ABS Active,Best Lap Delta (s),Best Lap Time (s),Brake Pos (%),Brake Temp FL (C),Brake Temp FR (C),Brake Temp RL (C),Brake Temp RR (C),Car Coord X (m),Car Coord Y (m),Car Coord Z (m),Car Damage Front,Car Damage Left,Car Damage Rear,Car Damage Right,Car Pos Norm,Chassis Velocity X (m/s),Chassis Velocity Y (m/s),Chassis Velocity Z (m/s),Clutch Pos (%),Drive Train Speed (rad/s),Engine Limiter,Engine RPM (rpm),Flags,Fuel Level (l),Gear,Ground Speed (km/h),Lap Invalidated,Lap Time (s),Lap Time2 (s),Last Lap Time (s),Last Sector Time (s),Max Power (hp),Max RPM (rpm),Max Torque (N.m),Max Turbo Boost,Num Tires Off Track,Position,Session Lap Count,Steering Angle (deg),Surface Grip (%),TC Active,Throttle Pos (%),Turbo Boost
0.0,0.0,0.000,0.00,0.00,85.25,87.29,44.07,45.16,-367.9,-192.6,-18.221,0.0,0.0,0.0,0.0,0.0005,47.106,0.063,0.0208,100.00,127.94,0.0,5702.4,0.0,29.1083,4.0,169.58,0.0,0.01,0.01,0.00,0.000,413.5138,7520,223,1.6,0.0,1.0,0.0,0.0,95.4276,0.0,100.00,1.3
0.05,0.0,0.000,0.00,0.00,85.21,87.25,44.06,45.16,-366.5,-190.2,-18.234,0.0,0.0,0.0,0.0,0.0011,47.223,0.060,0.0164,100.00,128.24,0.0,5715.8,0.0,29.1056,4.0,170.00,0.0,0.06,0.06,0.00,0.000,413.5138,7520,223,1.6,0.0,1.0,0.0,0.0,95.4276,0.0,100.00,1.3
0.1,0.0,0.000,0.00,0.00,85.17,87.21,44.06,45.16,-365.2,-188.2,-18.244,0.0,0.0,0.0,0.0,0.0016,47.325,0.058,0.0146,100.00,128.52,0.0,5728.4,0.0,29.1032,4.0,170.37,0.0,0.11,0.11,0.00,0.000,413.5138,7520,223,1.6,0.0,1.0,0.0,0.0,95.4276,0.0,100.00,1.3
0.15,0.0,0.000,0.00,0.00,85.14,87.18,44.05,45.15,-364.1,-186.6,-18.251,0.0,0.0,0.0,0.0,0.002,47.411,0.057,0.0262,100.00,128.61,0.0,5732.3,0.0,29.1012,4.0,170.68,0.0,0.16,0.16,0.00,0.000,413.5138,7520,223,1.6,0.0,1.0,0.0,0.0,95.4276,0.0,100.00,1.3
0.2,0.0,0.000,0.00,0.00,85.11,87.15,44.04,45.14,-362.8,-184.5,-18.258,0.0,0.0,0.0,0.0,0.0026,47.513,0.054,0.0203,100.00,128.97,0.0,5748.2,0.0,29.0988,4.0,171.05,0.0,0.21,0.21,0.00,0.000,413.5138,7520,223,1.6,0.0,1.0,0.0,0.0,95.4276,0.0,100.00,1.3
0.25,0.0,0.000,0.00,0.00,85.07,87.11,44.03,45.13,-361.4,-182.2,-18.265,0.0,0.0,0.0,0.0,0.0031,47.625,0.051,0.0215,100.00,129.34,0.0,5765.0,0.0,29.0961,4.0,171.45,0.0,0.26,0.26,0.00,0.000,413.5138,7520,223,1.6,0.0,1.0,0.0,0.0,95.4276,0.0,100.00,1.3
0.3,0.0,0.000,0.00,0.00,85.04,87.08,44.03,45.13,-360.3,-180.5,-18.270,0.0,0.0,0.0,0.0,0.0036,47.710,0.051,0.0277,100.00,129.48,0.0,5771.1,0.0,29.0940,4.0,171.75,0.0,0.31,0.31,0.00,0.000,413.5138,7520,223,1.6,0.0,1.0,0.0,0.0,95.4276,0.0,100.00,1.3
0.35,0.0,0.000,0.00,0.00,85.00,87.04,44.03,45.12,-359.0,-178.5,-18.276,0.0,0.0,0.0,0.0,0.0041,47.810,0.049,0.0327,100.00,129.81,0.0,5785.7,0.0,29.0916,4.0,172.12,0.0,0.36,0.36,0.00,0.000,413.5138,7520,223,1.6,0.0,1.0,0.0,0.0,95.4276,0.0,100.00,1.3
0.4,0.0,0.000,0.00,0.00,84.96,87.00,44.01,45.12,-357.5,-176.1,-18.282,0.0,0.0,0.0,0.0,0.0047,47.922,0.049,0.0288,100.00,130.21,0.0,5803.7,0.0,29.0889,4.0,172.52,0.0,0.41,0.41,0.00,0.000,413.5138,7520,223,1.6,0.0,1.0,0.0,0.0,95.4276,0.0,100.00,1.3
0.45,0.0,0.000,0.00,0.00,84.93,86.97,44.01,45.10,-356.5,-174.4,-18.288,0.0,0.0,0.0,0.0,0.0051,48.004,0.049,0.0245,100.00,130.47,0.0,5815.2,0.0,29.0869,4.0,172.81,0.0,0.46,0.46,0.00,0.000,413.5138,7520,223,1.6,0.0,1.0,0.0,0.0,95.4276,0.0,100.00,1.3
