"Format","MoTeC CSV File",,,"Workbook",""
"Venue","ks_brands_hatch",,,"Worksheet",""
"Vehicle","ks_corvette_c7r",,,"Vehicle Desc",""
"Driver","Sgt. Swampass",,,"Engine ID",""
"Device","ADL"
"Comment","Tires: Slick Medium (M)",,,"Session","HOTLAP"
"Log Date","08/10/2025",,,"Origin Time","102.840","s"
"Log Time","16:11:00",,,"Start Time","102.850","s"
"Sample Rate","20.000","Hz",,"End Time","149.950","s"
"Duration","47.100","s",,"Start Distance","3853","m"
"Range","Lap 3",,,"End Distance","5775","m"


"ABS Active","ABS Enabled","AID Allow Tire Blankets","AID Auto Blip","AID Auto Clutch","AID Auto Shift","AID Fuel Rate","AID Ideal Line","AID Mech Damage","AID Stability","AID Tire Wear Rate","Air Density","Air Temp","Ballast","Best Lap Delta","Best Lap Time","Brake Bias","Brake Pos","Brake Temp FL","Brake Temp FR","Brake Temp RL","Brake Temp RR","CG Accel Lateral","CG Accel Longitudinal","CG Accel Vertical","CG Height","Camber FL","Camber FR","Camber RL","Camber RR","Car Coord X","Car Coord Y","Car Coord Z","Car Damage Front","Car Damage Left","Car Damage Rear","Car Damage Right","Car Pos Norm","Caster FL","Caster FR","Chassis Pitch Angle","Chassis Pitch Rate","Chassis Roll Angle","Chassis Roll Rate","Chassis Velocity X","Chassis Velocity Y","Chassis Velocity Z","Chassis Yaw Rate","Clutch Pos","DRS Active","DRS Available","Drive Train Speed","ERS Heat Charging","ERS Is Charging","ERS Max Energy","ERS Power Level","ERS Recovery Level","Engine Brake Setting","Engine Limiter","Engine RPM","Flags","Fuel Level","Gear","Ground Speed","HR Sample Clock","In Pit","KERS Charge","KERS Deployed Energy","KERS Input","KERS Max Energy","LR Sample Clock","Lap Invalidated","Lap Time","Lap Time2","Last Lap Time","Last Sector Time","MR Sample Clock","Max Fuel","Max Power","Max RPM","Max Sus Travel FL","Max Sus Travel FR","Max Sus Travel RL","Max Sus Travel RR","Max Torque","Max Turbo Boost","Num Tires Off Track","Penalties Enabled","Position","Raw Data Sample Rate","Ride Height FL","Ride Height FR","Ride Height RL","Ride Height RR","Road Temp","Self Align Torque FL","Self Align Torque FR","Self Align Torque RL","Self Align Torque RR","Session Lap Count","Session Time Left","Steering Angle","Surface Grip","Suspension Travel FL","Suspension Travel FR","Suspension Travel RL","Suspension Travel RR","TC Active","TC Enabled","Throttle Pos","Tire Dirt Level FL","Tire Dirt Level FR","Tire Dirt Level RL","Tire Dirt Level RR","Tire Load FL","Tire Load FR","Tire Load RL","Tire Load RR","Tire Loaded Radius FL","Tire Loaded Radius FR","Tire Loaded Radius RL","Tire Loaded Radius RR","Tire Pressure FL","Tire Pressure FR","Tire Pressure RL","Tire Pressure RR","Tire Radius FL","Tire Radius FR","Tire Radius RL","Tire Radius RR","Tire Rubber Grip FL","Tire Rubber Grip FR","Tire Rubber Grip RL","Tire Rubber Grip RR","Tire Slip Angle FL","Tire Slip Angle FR","Tire Slip Angle RL","Tire Slip Angle RR","Tire Slip Ratio FL","Tire Slip Ratio FR","Tire Slip Ratio RL","Tire Slip Ratio RR","Tire Temp Core FL","Tire Temp Core FR","Tire Temp Core RL","Tire Temp Core RR","Tire Temp Inner FL","Tire Temp Inner FR","Tire Temp Inner RL","Tire Temp Inner RR","Tire Temp Middle FL","Tire Temp Middle FR","Tire Temp Middle RL","Tire Temp Middle RR","Tire Temp Outer FL","Tire Temp Outer FR","Tire Temp Outer RL","Tire Temp Outer RR","Toe In FL","Toe In FR","Toe In RL","Toe In RR","Turbo Boost","Wheel Angular Speed FL","Wheel Angular Speed FR","Wheel Angular Speed RL","Wheel Angular Speed RR","Wind Direction","Wind Speed"
"","","","","","","","","%","%","","kg/m3","C","kg","s","s","%","%","C","C","C","C","G","G","G","mm","deg","deg","deg","deg","m","m","m","","","","","","deg","deg","deg","deg/s","deg","deg/s","m/s","m/s","m/s","deg/s","%","","","rad/s","","","MJ","","","","","rpm","","l","","km/h","","","%","kJ","%","MJ","","","s","s","s","s","","l","hp","rpm","mm","mm","mm","mm","N.m","","","","","Hz","mm","mm","mm","mm","C","N.m","N.m","N.m","N.m","","s","deg","%","mm","mm","mm","mm","","","%","","","","","N","N","N","N","mm","mm","mm","mm","psi","psi","psi","psi","mm","mm","mm","mm","%","%","%","%","deg","deg","deg","deg","%","%","%","%","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","deg","deg","deg","deg","","rad/s","rad/s","rad/s","rad/s","deg","km/h"


"0.0000","1","1","1","1","0","0","1","19.999999000","50","1","1.18560","26","0","7.077","47.886","68.0000010000","0.00","26","26","26","26","-0.024","0.201","0.0156","366.74","-3.322","-3.204","-2.269","-1.882","133.99","-387.78","-7.804","0","0.000","0","0","0.0011","-12.6123","-12.6123","0.489","-0.13","5.320","2.89","60.268","0.132","-0.5394","0.59","100.000","0","0","171.37","0","0","0","0","0","0","0.0000","5287.6","0","30","5.0000","216.97","1.0000","0","0","0","0","0","1.0000","0","0.012","0.012","54.963","21.902","1.0000","110","433.27234","6500","75.0000030000","75.0000030000","109.999999000","109.999999000","586","0","0.0000","1","1","111.11","64.05","64.05","66.58","66.58","23","-26.62","29.20","-22.69","39.78","2.0000","1655.76","1.70","100","36.36","36.72","41.15","43.25","0.0000","1","100.00","0.0000","0.0000","0.0000","0.0000","4266","4498","4885","5916","333.700","332.443","342.037","338.594","24.5670","22.8134","24.1274","22.9487","344.999999000","344.999999000","354.999989000","354.999989000","99.9262","99.8020","99.8926","99.8095","0.034","0.001","0.014","0.181","-0.058","-0.04","1.258","1.307","79.544","68.584","76.797","69.429","79.285","66.799","77.860","70.233","75.334","63.341","75.387","67.569","71.960","61.002","73.804","66.113","0.064","-0.140","0.07608","0.07523","0","173.95","173.93","171.38","171.38","-50","0"
"0.0000","1","1","1","1","0","0","1","19.999999000","50","1","1.18560","26","0","0.000","47.886","68.0000010000","0.00","26","26","26","26","-0.073","0.185","0.2349","365.38","-3.366","-3.111","-2.224","-2.086","131.28","-388.91","-7.752","0","0.000","0","0","0.0026","-12.6123","-12.6123","0.580","3.97","5.381","-0.03","60.355","0.112","-0.4921","1.28","100.000","0","0","171.61","0","0","0","0","0","0","0.0000","5295.0","0","30","5.0000","217.28","0.0000","0","0","0","0","0","1.0000","0","0.060","0.060","54.963","21.902","0.0000","110","433.27234","6500","75.0000030000","75.0000030000","109.999999000","109.999999000","586","0","0.0000","1","1","111.11","60.21","60.21","66.24","66.24","23","-36.96","34.38","-28.51","40.33","2.0000","1655.71","2.40","100","37.38","38.09","39.05","41.30","0.0000","1","100.00","0.0000","0.0000","0.0000","0.0000","5169","5538","5626","5813","331.429","329.456","340.166","339.022","24.5667","22.8133","24.1282","22.9498","344.999999000","344.999999000","354.999989000","354.999989000","99.9262","99.8020","99.8927","99.8096","-0.004","-0.033","-0.007","0.165","-0.047","-0.05","1.176","1.237","79.542","68.583","76.801","69.436","79.228","66.774","77.832","70.231","75.281","63.317","75.360","67.567","71.910","60.980","73.776","66.111","0.113","-0.191","0.07692","0.07608","0","174.40","174.31","171.63","171.63","-50","0"
"0.0000","1","1","1","1","0","0","1","19.999999000","50","1","1.18560","26","0","0.000","47.886","68.0000010000","0.00","26","26","26","26","-0.091","0.186","0.2757","362.32","-3.418","-3.190","-2.295","-2.404","128.53","-390.04","-7.697","0","0.000","0","0","0.0042","-12.6123","-12.6123","0.781","3.31","5.335","-1.60","60.452","0.061","-0.3894","2.01","100.000","0","0","171.61","0","0","0","0","0","0","0.0000","5294.8","0","30","5.0000","217.63","1.0000","0","0","0","0","0","1.0000","0","0.111","0.111","54.963","21.902","1.0000","110","433.27234","6500","75.0000030000","75.0000030000","109.999999000","109.999999000","586","0","0.0000","1","1","83.33","61.42","61.42","58.42","58.42","23","-32.89","27.86","-43.13","48.10","2.0000","1655.66","2.01","100","38.02","38.70","44.67","44.95","0.0000","1","100.00","0.0000","0.0000","0.0000","0.0000","4651","4729","6700","6570","332.741","331.845","337.380","336.859","24.5663","22.8130","24.1298","22.9516","344.999999000","344.999999000","354.999989000","354.999989000","99.9262","99.8020","99.8928","99.8097","-0.006","-0.047","-0.064","0.116","-0.038","-0.04","1.007","1.110","79.539","68.581","76.812","69.447","79.172","66.748","77.818","70.238","75.229","63.293","75.345","67.573","71.862","60.957","73.761","66.117","0.101","-0.179","0.07453","0.07443","0","174.73","174.56","171.56","171.56","-50","0"
"0.0000","1","1","1","1","0","0","1","19.999999000","50","1","1.18560","26","0","-0.003","47.886","68.0000010000","0.00","26","26","26","26","-0.152","0.189","0.3472","360.40","-3.489","-3.285","-2.337","-2.302","125.11","-391.46","-7.617","0","0.000","0","0","0.0061","-12.6123","-12.6123","0.936","2.49","5.146","-4.29","60.561","-0.005","-0.3866","2.23","100.000","0","0","171.83","0","0","0","0","0","0","0.0000","5301.7","0","30","5.0000","218.02","0.0000","0","0","0","0","0","0.0000","0","0.171","0.171","54.963","21.902","0.0000","110","433.27234","6500","75.0000030000","75.0000030000","109.999999000","109.999999000","586","0","0.0000","1","1","83.33","59.82","59.82","54.77","54.77","23","-36.81","27.62","-51.38","44.43","2.0000","1655.60","2.01","100","38.60","40.11","46.94","45.77","0.0000","1","100.00","0.0000","0.0000","0.0000","0.0000","4812","4931","7010","6891","332.286","331.099","336.524","336.162","24.5657","22.8129","24.1319","22.9536","344.999999000","344.999999000","354.999989000","354.999989000","99.9262","99.8020","99.8930","99.8099","-0.034","-0.089","-0.111","0.066","-0.037","-0.04","0.982","1.091","79.536","68.581","76.824","69.460","79.104","66.721","77.803","70.244","75.165","63.269","75.329","67.578","71.802","60.935","73.744","66.121","0.095","-0.173","0.07340","0.07399","0","175.02","174.83","171.84","171.84","-50","0"
"0.0000","1","1","1","1","0","0","1","19.999999000","50","1","1.18560","26","0","-0.003","47.886","68.0000010000","0.00","26","26","26","26","-0.175","0.175","0.2746","360.45","-3.389","-3.591","-2.422","-2.497","122.87","-392.38","-7.560","0","0.000","0","0","0.0074","-12.6123","-12.6123","0.985","1.02","4.949","-4.59","60.630","-0.041","-0.4395","2.36","100.000","0","0","172.15","0","0","0","0","0","0","0.0000","5311.6","0","30","5.0000","218.27","1.0000","0","0","0","0","0","0.0000","0","0.210","0.210","54.963","21.902","1.0000","110","433.27234","6500","75.0000030000","75.0000030000","109.999999000","109.999999000","586","0","0.0000","1","1","111.11","59.05","59.05","55.19","55.19","23","-40.79","29.45","-53.44","34.83","2.0000","1655.56","2.01","100","39.20","40.05","47.92","46.27","0.0000","1","100.00","0.0000","0.0000","0.0000","0.0000","5122","5021","6758","5847","331.297","330.945","337.166","338.811","24.5654","22.8126","24.1333","22.9550","344.999999000","344.999999000","354.999989000","354.999989000","99.9262","99.8020","99.8931","99.8099","-0.058","-0.113","-0.146","0.022","-0.044","-0.04","1.047","1.153","79.534","68.579","76.833","69.468","79.058","66.700","77.794","70.248","75.123","63.249","75.318","67.580","71.762","60.916","73.733","66.122","0.094","-0.173","0.07287","0.07372","0","175.17","174.96","172.08","172.08","-50","0"
"0.0000","1","1","1","1","0","0","1","19.999999000","50","1","1.18560","26","0","-0.006","47.886","68.0000010000","0.00","26","26","26","26","-0.200","0.171","0.1053","363.14","-3.399","-3.501","-2.096","-2.681","119.93","-393.58","-7.481","0","0.000","0","0","0.0091","-12.6123","-12.6123","1.025","0.49","4.766","-2.23","60.724","-0.078","-0.4751","2.55","100.000","0","0","172.51","0","0","0","0","0","0","0.0000","5322.6","0","30","5.0000","218.61","0.0000","0","0","0","0","0","0.0000","0","0.264","0.264","54.963","21.902","0.0000","110","433.27234","6500","75.0000030000","75.0000030000","109.999999000","109.999999000","586","0","0.0000","1","1","111.11","62.15","62.15","59.47","59.47","23","-37.79","18.78","-44.76","32.40","2.0000","1655.51","2.01","100","39.45","38.13","47.52","44.55","0.0000","1","100.00","0.0000","0.0000","0.0000","0.0000","4546","3930","5919","5784","332.896","334.013","339.179","339.050","24.5650","22.8119","24.1349","22.9564","344.999999000","344.999999000","354.999989000","354.999989000","99.9263","99.8020","99.8932","99.8101","-0.106","-0.154","-0.191","-0.027","-0.038","-0.04","1.070","1.205","79.531","68.574","76.843","69.477","79.002","66.670","77.779","70.246","75.070","63.221","75.303","67.577","71.714","60.890","73.717","66.118","0.094","-0.172","0.07310","0.07456","0","175.43","175.17","172.42","172.42","-50","0"
"0.0000","1","1","1","1","0","0","1","19.999999000","50","1","1.18560","26","0","-0.006","47.886","68.0000010000","0.00","26","26","26","26","-0.265","0.177","0.0618","365.01","-3.035","-3.571","-2.170","-2.463","117.08","-394.75","-7.400","0","0.000","0","0","0.0107","-12.6123","-12.6123","1.029","0.91","4.742","2.26","60.810","-0.103","-0.4977","2.74","100.000","0","0","172.92","0","0","0","0","0","0","0.0000","5335.2","0","30","5.0000","218.93","1.0000","0","0","0","0","0","0.0000","0","0.315","0.315","54.963","21.902","1.0000","110","433.27234","6500","75.0000030000","75.0000030000","109.999999000","109.999999000","586","0","0.0000","1","1","111.11","62.53","62.53","65.34","65.34","23","-45.89","13.93","-48.20","21.47","2.0000","1655.45","2.01","100","39.96","35.82","45.01","42.24","0.0000","1","100.00","0.0000","0.0000","0.0000","0.0000","5324","3433","5792","5275","330.712","335.126","339.688","340.456","24.5648","22.8107","24.1361","22.9575","344.999999000","344.999999000","354.999989000","354.999989000","99.9263","99.8020","99.8933","99.8102","-0.150","-0.210","-0.250","-0.089","-0.045","-0.04","1.172","1.315","79.530","68.567","76.851","69.484","78.953","66.636","77.761","70.242","75.025","63.189","75.285","67.572","71.671","60.859","73.699","66.112","0.093","-0.171","0.07440","0.07561","0","175.69","175.42","172.86","172.86","-50","0"
