Time (s),ABS Active,Best Lap Delta (s),Best Lap Time (s),Brake Pos (%),Brake Temp FL (C),Brake Temp FR (C),Brake Temp RL (C),Brake Temp RR (C),Car Coord X (m),Car Coord Y (m),Car Coord Z (m),Car Damage Front,Car Damage Left,Car Damage Rear,Car Damage Right,Car Pos Norm,Chassis Velocity X (m/s),Chassis Velocity Y (m/s),Chassis Velocity Z (m/s),Clutch Pos (%),Drive Train Speed (rad/s),Engine Limiter,Engine RPM (rpm),Flags,Fuel Level (l),Gear,Ground Speed (km/h),Lap Invalidated,Lap Time (s),Lap Time2 (s),Last Lap Time (s),Last Sector Time (s),Max Power (hp),Max RPM (rpm),Max Torque (N.m),Max Turbo Boost,Num Tires Off Track,Position,Session Lap Count,Steering Angle (deg),Surface Grip (%),TC Active,Throttle Pos (%),Turbo Boost
0.0,0.0,7.077,47.886,0.00,26,26,26,26,133.99,-387.78,-7.804,0.0,0.0,0.0,0.0,0.0011,60.268,0.132,-0.5394,100.000,171.37,0.0,5287.6,0.0,30,5.0,216.97,0.0,0.012,0.012,54.963,21.902,433.27234,6500,586,0.0,0.0,1.0,2.0,1.70,100,0.0,100.00,0.0
0.05,0.0,0.000,47.886,0.00,26,26,26,26,131.28,-388.91,-7.752,0.0,0.0,0.0,0.0,0.0026,60.355,0.112,-0.4921,100.000,171.61,0.0,5295.0,0.0,30,5.0,217.28,0.0,0.060,0.060,54.963,21.902,433.27234,6500,586,0.0,0.0,1.0,2.0,2.40,100,0.0,100.00,0.0
0.1,0.0,0.000,47.886,0.00,26,26,26,26,128.53,-390.04,-7.697,0.0,0.0,0.0,0.0,0.0042,60.452,0.061,-0.3894,100.000,171.61,0.0,5294.8,0.0,30,5.0,217.63,0.0,0.111,0.111,54.963,21.902,433.27234,6500,586,0.0,0.0,1.0,2.0,2.01,100,0.0,100.00,0.0
0.15,0.0,-0.003,47.886,0.00,26,26,26,26,125.11,-391.46,-7.617,0.0,0.0,0.0,0.0,0.0061,60.561,-0.005,-0.3866,100.000,171.83,0.0,5301.7,0.0,30,5.0,218.02,0.0,0.171,0.171,54.963,21.902,433.27234,6500,586,0.0,0.0,1.0,2.0,2.01,100,0.0,100.00,0.0
0.2,0.0,-0.003,47.886,0.00,26,26,26,26,122.87,-392.38,-7.560,0.0,0.0,0.0,0.0,0.0074,60.630,-0.041,-0.4395,100.000,172.15,0.0,5311.6,0.0,30,5.0,218.27,0.0,0.210,0.210,54.963,21.902,433.27234,6500,586,0.0,0.0,1.0,2.0,2.01,100,0.0,100.00,0.0
0.25,0.0,-0.006,47.886,0.00,26,26,26,26,119.93,-393.58,-7.481,0.0,0.0,0.0,0.0,0.0091,60.724,-0.078,-0.4751,100.000,172.51,0.0,5322.6,0.0,30,5.0,218.61,0.0,0.264,0.264,54.963,21.902,433.27234,6500,586,0.0,0.0,1.0,2.0,2.01,100,0.0,100.00,0.0
0.3,0.0,-0.006,47.886,0.00,26,26,26,26,117.08,-394.75,-7.400,0.0,0.0,0.0,0.0,0.0107,60.810,-0.103,-0.4977,100.000,172.92,0.0,5335.2,0.0,30,5.0,218.93,0.0,0.315,0.315,54.963,21.902,433.27234,6500,586,0.0,0.0,1.0,2.0,2.01,100,0.0,100.00,0.0
0.35,0.0,-0.009,47.886,0.00,26,26,26,26,114.27,-395.89,-7.321,0.0,0.0,0.0,0.0,0.0122,60.897,-0.115,-0.4701,100.000,173.07,0.0,5339.8,0.0,30,5.0,219.24,0.0,0.363,0.363,54.963,21.902,433.27234,6500,586,0.0,0.0,1.0,2.0,2.01,100,0.0,100.00,0.0
0.4,0.0,-0.006,47.886,0.00,26,26,26,26,111.64,-396.95,-7.248,0.0,0.0,0.0,0.0,0.0138,60.976,-0.120,-0.4802,100.000,173.67,0.0,5358.5,0.0,30,5.0,219.52,0.0,0.411,0.411,54.963,21.902,433.27234,6500,586,0.0,0.0,1.0,2.0,2.09,100,0.0,100.00,0.0
0.45,0.0,-0.009,47.886,0.00,26,26,26,26,108.42,-398.24,-7.165,0.0,0.0,0.0,0.0,0.0156,61.077,-0.120,-0.4501,100.000,173.61,0.0,5356.7,0.0,30,5.0,219.88,0.0,0.468,0.468,54.963,21.902,433.27234,6500,586,0.0,0.0,1.0,2.0,2.09,100,0.0,100.00,0.0
