Time (s),ABS Active,Best Lap Delta (s),Best Lap Time (s),Brake Pos (%),Brake Temp FL (C),Brake Temp FR (C),Brake Temp RL (C),Brake Temp RR (C),Car Coord X (m),Car Coord Y (m),Car Coord Z (m),Car Damage Front,Car Damage Left,Car Damage Rear,Car Damage Right,Car Pos Norm,Chassis Velocity X (m/s),Chassis Velocity Y (m/s),Chassis Velocity Z (m/s),Clutch Pos (%),Drive Train Speed (rad/s),Engine Limiter,Engine RPM (rpm),Flags,Fuel Level (l),Gear,Ground Speed (km/h),Lap Invalidated,Lap Time (s),Lap Time2 (s),Last Lap Time (s),Last Sector Time (s),Max Power (hp),Max RPM (rpm),Max Torque (N.m),Max Turbo Boost,Num Tires Off Track,Position,Session Lap Count,Steering Angle (deg),Surface Grip (%),TC Active,Throttle Pos (%),Turbo Boost
0.0,0.0,0.000,0.000,0.00,73.61,72.40,51.55,51.55,135.55,-390.93,-7.456,0.0,0.0,0.0,0.0,0.001,47.757,-0.066,0.2109,100.00,175.21,0.0,9565,0.0,17.674,5.0,171.93,0.0,0.00,0.00,0.00,0.000,140.26460,10500,119,0.0,0.0,1.0,0.0,-2.01,100,0.0,100.00,0.0
0.05,0.0,0.000,0.000,0.00,73.53,72.33,51.53,51.53,133.07,-391.92,-7.402,0.0,0.0,0.0,0.0,0.0024,47.798,0.047,0.1873,100.00,175.45,0.0,9578,0.0,17.673,5.0,172.07,0.0,0.06,0.06,0.00,0.000,140.26460,10500,119,0.0,0.0,1.0,0.0,0.09,100,0.0,100.00,0.0
0.1,0.0,0.000,0.000,0.00,73.46,72.27,51.52,51.52,130.92,-392.78,-7.354,0.0,0.0,0.0,0.0,0.0035,47.846,0.148,0.1977,100.00,175.26,0.0,9567,0.0,17.672,5.0,172.25,0.0,0.10,0.10,0.00,0.000,140.26460,10500,119,0.0,0.0,1.0,0.0,2.49,100,0.0,100.00,0.0
0.15,0.0,0.000,0.000,0.00,73.40,72.21,51.51,51.51,128.87,-393.60,-7.309,0.0,0.0,0.0,0.0,0.0047,47.877,0.205,0.1802,100.00,175.95,0.0,9605,0.0,17.671,5.0,172.36,0.0,0.15,0.15,0.00,0.000,140.26460,10500,119,0.0,0.0,1.0,0.0,2.49,100,0.0,100.00,0.0
0.2,0.0,0.000,0.000,0.00,73.33,72.13,51.49,51.49,126.32,-394.61,-7.256,0.0,0.0,0.0,0.0,0.0062,47.925,0.223,0.1796,100.00,176.10,0.0,9613,0.0,17.670,5.0,172.53,0.0,0.21,0.21,0.00,0.000,140.26460,10500,119,0.0,0.0,1.0,0.0,2.27,100,0.0,100.00,0.0
0.25,0.0,0.000,0.000,0.00,73.26,72.07,51.48,51.48,124.17,-395.47,-7.212,0.0,0.0,0.0,0.0,0.0074,47.965,0.205,0.1718,100.00,175.85,0.0,9599,0.0,17.669,5.0,172.67,0.0,0.26,0.26,0.00,0.000,140.26460,10500,119,0.0,0.0,1.0,0.0,1.66,100,0.0,100.00,0.0
0.3,0.0,0.000,0.000,0.00,73.20,72.01,51.47,51.47,122.04,-396.31,-7.165,0.0,0.0,0.0,0.0,0.0086,48.010,0.163,0.1736,100.00,175.67,0.0,9589,0.0,17.668,5.0,172.84,0.0,0.31,0.31,0.00,0.000,140.26460,10500,119,0.0,0.0,1.0,0.0,1.61,100,0.0,100.00,0.0
0.35,0.0,0.000,0.000,0.00,73.14,71.95,51.46,51.46,119.93,-397.15,-7.114,0.0,0.0,0.0,0.0,0.0098,48.044,0.115,0.1854,100.00,175.68,0.0,9590,0.0,17.667,5.0,172.96,0.0,0.35,0.35,0.00,0.000,140.26460,10500,119,0.0,0.0,1.0,0.0,1.61,100,0.0,100.00,0.0
0.4,0.0,0.000,0.000,0.00,73.06,71.88,51.44,51.44,117.48,-398.12,-7.047,0.0,0.0,0.0,0.0,0.0111,48.089,0.061,0.2043,100.00,175.70,0.0,9591,0.0,17.666,5.0,173.12,0.0,0.41,0.41,0.00,0.000,140.26460,10500,119,0.0,0.0,1.0,0.0,1.61,100,0.0,100.00,0.0
0.45,0.0,0.000,0.000,0.00,73.00,71.82,51.43,51.43,115.40,-398.94,-6.986,0.0,0.0,0.0,0.0,0.0123,48.116,0.018,0.2172,100.00,175.96,0.0,9605,0.0,17.665,5.0,173.22,0.0,0.45,0.45,0.00,0.000,140.26460,10500,119,0.0,0.0,1.0,0.0,0.48,100,0.0,100.00,0.0
0.5,0.0,0.000,0.000,0.00,72.93,71.75,51.42,51.42,112.88,-399.93,-6.910,0.0,0.0,0.0,0.0,0.0137,48.145,-0.028,0.1914,100.00,177.03,0.0,9664,0.0,17.664,5.0,173.32,0.0,0.51,0.51,0.00,0.000,140.26460,10500,119,0.0,0.0,1.0,0.0,-1.44,100,0.0,100.00,0.0
0.55,0.0,0.000,0.000,0.00,72.87,71.68,51.41,51.41,110.80,-400.74,-6.849,0.0,0.0,0.0,0.0,0.0149,48.190,-0.026,0.1989,100.00,176.47,0.0,9633,0.0,17.663,5.0,173.49,0.0,0.56,0.56,0.00,0.000,140.26460,10500,119,0.0,0.0,1.0,0.0,-1.87,100,0.0,100.00,0.0
0.6,0.0,0.000,0.000,0.00,72.81,71.63,51.39,51.39,108.78,-401.53,-6.789,0.0,0.0,0.0,0.0,0.016,48.223,0.010,0.1912,100.00,176.50,0.0,9635,0.0,17.662,5.0,173.60,0.0,0.60,0.60,0.00,0.000,140.26460,10500,119,0.0,0.0,1.0,0.0,-1.70,100,0.0,100.00,0.0
0.65,0.0,0.000,0.000,0.00,72.73,71.56,51.38,51.38,106.30,-402.50,-6.713,0.0,0.0,0.0,0.0,0.0174,48.258,0.078,0.1821,100.00,176.61,0.0,9641,0.0,17.661,5.0,173.73,0.0,0.66,0.66,0.00,0.000,140.26460,10500,119,0.0,0.0,1.0,0.0,-1.40,100,0.0,100.00,0.0
